timestamp,cpu_percent
588624.7105675,0.0
588625.7112531,41.5
588626.7116544,42.0
588627.7127995,45.2
588628.7138553,58.5
588629.7150092,64.6
588630.7158135,38.9
588631.7164482,32.4
588632.7169088,34.0
588633.717488,36.8
588634.7184933,50.2
588635.7193018,42.2
588636.7196511,34.4
588637.7199893,35.2
588638.7204741,38.1
588639.7213447,28.8
588640.7225315,33.6
588641.7234069,30.5
588642.751121,60.6
588643.7531037,66.0
588644.7545624,38.8
588645.7555876,33.6
588646.7563185,30.1
